accuracy,loss,val_accuracy,val_loss
0.7152796387672424,0.8289207816123962,0.7390374541282654,0.5833719372749329
0.7305325269699097,0.5682263374328613,0.7636363506317139,0.5173519849777222
0.780305027961731,0.44698190689086914,0.7957219481468201,0.4097200334072113
0.8375702500343323,0.36318835616111755,0.8385026454925537,0.49722933769226074
0.8504147529602051,0.331540584564209,0.873796820640564,0.3090653419494629
0.8755686283111572,0.29336079955101013,0.896256685256958,0.2963408827781677
0.8838640451431274,0.2693914771080017,0.9112299680709839,0.27204981446266174
0.9033984541893005,0.23952388763427734,0.9272727370262146,0.21574337780475616
0.9119614958763123,0.21555519104003906,0.926203191280365,0.24592500925064087
0.9304254651069641,0.18077048659324646,0.9304812550544739,0.1859758049249649
0.9317634701728821,0.16968856751918793,0.9326203465461731,0.20266203582286835
0.9400588870048523,0.1581258773803711,0.9219251275062561,0.22802220284938812
0.9400588870048523,0.1494658887386322,0.929411768913269,0.19120371341705322
0.9451431632041931,0.14000442624092102,0.9443850517272949,0.15924859046936035
0.9504950642585754,0.13927079737186432,0.9465240836143494,0.16735154390335083
